Title,Price,Link,Status,Loc_Date
Komputer MSI i7-11700KF 32GBRAM 1TB SSD GeForceRTX3070 Windows 11 home,8 500 zł,/d/oferta/komputer-msi-i7-11700kf-32gbram-1tb-ssd-geforcertx3070-windows-11-home-CID99-IDTQAw0.html,Używane,Suwałki - Odświeżono dnia 03 kwietnia 2023
Komputer PC 5600x 3070ti 64gb 2TB,5 000 zł,/d/oferta/komputer-pc-5600x-3070ti-64gb-2tb-CID99-IDTE3oY.html,Używane,"Warszawa, Śródmieście - Odświeżono dnia 02 kwietnia 2023"
Komputer do gier RTX 3060 Ryzen 5 3600 + dodatki,3 500 zł,/d/oferta/komputer-do-gier-rtx-3060-ryzen-5-3600-dodatki-CID99-IDTQMWK.html,Używane,Łabiszyn - Odświeżono dnia 04 kwietnia 2023
Karta sieciowa Artisoft PCB 2000/C Orbit 1993,25 złdo negocjacji,/d/oferta/karta-sieciowa-artisoft-pcb-2000-c-orbit-1993-CID99-IDSMyHI.html,Używane,"Warszawa, Śródmieście - Dzisiaj o 14:24"
Komputer do gier i5 gtx,1 300 zł,/d/oferta/komputer-do-gier-i5-gtx-CID99-IDTtWrK.html,Używane,Łęg Tarnowski - Dzisiaj o 14:20
Komputer gamingowy msi infinite,1 500 zł,/d/oferta/komputer-gamingowy-msi-infinite-CID99-IDTYruR.html,Używane,Puck - Dzisiaj o 14:20
komputer stacjonarny,450 zł,/d/oferta/komputer-stacjonarny-CID99-IDTYrt0.html,Używane,"Szczecin, Świerczewo - Dzisiaj o 14:19"
Komputer stacjonarny PC,9 000 złdo negocjacji,/d/oferta/komputer-stacjonarny-pc-CID99-IDTYrq1.html,Używane,Pieńsk - Dzisiaj o 14:18
Lenovo Thinkstation P520 Xeon W-2225/RTX A4000/64GB RAM,6 999 złdo negocjacji,/d/oferta/lenovo-thinkstation-p520-xeon-w-2225-rtx-a4000-64gb-ram-CID99-IDTQcqo.html,Używane,"Wrocław, Stare Miasto - Odświeżono Dzisiaj o 14:16"
i7 7700k - H270 - GTX 1070 8Gb - 32Gb ram DDR4 - 3x Dysk - Win 10 Pro,2 250 złdo negocjacji,/d/oferta/i7-7700k-h270-gtx-1070-8gb-32gb-ram-ddr4-3x-dysk-win-10-pro-CID99-IDTVjmv.html,Używane,Chojnice - Odświeżono Dzisiaj o 14:16
"HP Z210, komputer do pracy i gier",1 500 złdo negocjacji,/d/oferta/hp-z210-komputer-do-pracy-i-gier-CID99-IDTYrfv.html,Używane,Rumia - Dzisiaj o 14:15
